FAR	SNR	HTime	LTime	HminusL
5.74e-08	9.35	1126811046.44	1127404599.64	-593553.21
6.52e-09	9.68	1126804166.44	1129311573.85	-2510000
2.27e-07	9.140000000000001	1126801225.46	1128915035.57	-2110000
1.11e-07	9.25	1126799969.7	1126753805.2	46164.51
1.62e-10	10.31	1126796497.07	1127179412.46	-382915.39
1.47e-10	10.33	1126770128.88	1129253899.46	-2483770.59
2.1e-07	9.15	1126768359.74	1127977951.83	-1210000
1.98e-07	9.16	1126759600.57	1128168361.77	-1408761.21
4.17e-08	9.4	1126759521.57	1129346878.66	-2587357.09
1.27e-10	10.36	1126742304.84	1127179412.46	-437107.61
1.83e-10	10.28	1126690215.06	1129341285.56	-2651070.5
1.38e-07	9.220000000000001	1126672284.98	1128144274.29	-1470000
1.08e-07	9.25	1126660463.48	1126997546.59	-337083.11
1.15e-11	10.73	1126659549.62	1127978059.83	-1320000
9.29e-11	10.42	1126655016.69	1127408530.99	-753514.3
2.05e-07	9.16	1126652504.18	1126958754.57	-306250.4
9.65e-08	9.27	1126644888.8	1128164495.2	-1520000
1.8e-10	10.29	1126627903.68	1127795952.07	-1168048.39
1.09e-10	10.39	1126627775.49	1129250438.59	-2622663.09
2.61e-09	9.82	1126626280.25	1126937441.35	-311161.1
1.67e-11	10.68	1126574261.37	1129341285.56	-2767024.19
7.57e-08	9.31	1126571737.05	1127618959.94	-1047222.89
2.11e-07	9.15	1126568900.3	1128650717.49	-2080000
3.66e-11	10.59	1126566977.35	1129107452.96	-2540000
1.03e-10	10.4	1126562421.57	1127795952.07	-1230000
1.34e-10	10.35	1126559715.17	1127188831.96	-629116.79
2.35e-07	9.130000000000001	1126409035.17	1128989148.87	-2580000
1.59e-10	10.31	1126403558.96	1128696353.25	-2292794.29
4.18e-11	10.57	1126326860.84	1128264914.75	-1940000
8.25e-11	10.44	1126257549.25	1129341285.56	-3083736.31
2.41e-07	9.130000000000001	1126109425.59	1128676396.61	-2570000
1.18e-10	10.37	1126074827.15	1129331322.95	-3256495.8
